,0
0,Rhode Island
1,Ohio
2,New Hampshire
3,Connecticut
4,Illinois
5,Kentucky
6,Montana
7,Hawaii
8,Maine
9,North Dakota
10,Wisconsin
11,Delaware
12,Missouri
13,Tennessee
14,New York
15,Iowa
16,Nebraska
17,Oregon
18,Vermont
19,Virginia
20,Maryland
21,California
22,Massachusetts
23,South Dakota
24,Louisiana
25,New Mexico
26,West Virginia
27,Minnesota
28,Nevada
29,Oklahoma
30,Indiana
31,Kansas
32,New Jersey
33,Wyoming
34,Mississippi
35,Pennsylvania
36,Arizona
37,North Carolina
38,Colorado
39,Georgia
40,Michigan
41,Utah
42,South Carolina
43,Idaho
